DocNo,DocDate,DebtorCode,RefDocNo,ShipInfo,Note,UDF_Connum,ItemCode,Description,FurtherDescription,AccNo,Quantity,UnitAmount,UOM,TaxType
I21010001,27/Jan/2021,Sumitomo,I21010001,J000508,,,t20,Truck 1x20' FCL Container,,5000/000,1.0000,1.0000,20FT,S
I21010001,27/Jan/2021,Sumitomo,I21010001,J000508,,,p20,PSA LOLO 20 Charge,,5001/000,1.0000,1.0000,20FT,Z
I21010001,27/Jan/2021,Sumitomo,I21010001,J000508,,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,S
I21010001,27/Jan/2021,Sumitomo,I21010001,J000508,,,dhc,Depot Handling Charge - ENG KONG PIONEER SECTOR,,5001/000,2.0000,25.0000,UNIT,Z
I21010001,27/Jan/2021,Sumitomo,I21010001,J000508,,,cnf,Cont. Notification & Admin Fees - ENG KONG PIONEER SECTOR,,5000/000,2.0000,1.0000,UNIT,S
I21010002,27/Jan/2021,Sumitomo,I21010002,J000500,,,t40,Truck 1x40' FCL Container JURONG,,5000/000,1.0000,2.0000,40FT,S
I21010002,27/Jan/2021,Sumitomo,I21010002,J000500,,,p40,PSA LOLO 40 Charge,,5001/000,1.0000,2.0000,40FT,Z
I21010002,27/Jan/2021,Sumitomo,I21010002,J000500,,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,S
I21010002,27/Jan/2021,Sumitomo,I21010002,J000500,,,dhc,Depot Handling Charge - ENG KONG PIONEER SECTOR,,5001/000,1.0000,25.0000,UNIT,Z
I21010002,27/Jan/2021,Sumitomo,I21010002,J000500,,,cnf,Cont. Notification & Admin Fees - ENG KONG PIONEER SECTOR,,5000/000,1.0000,1.0000,UNIT,S
I21010003,27/Jan/2021,Sumitomo,I21010003,J000511,,,t20,Truck 1x20' FCL Container,,5000/000,1.0000,1.0000,20FT,S
I21010003,27/Jan/2021,Sumitomo,I21010003,J000511,,,p20,PSA LOLO 20 Charge,,5001/000,1.0000,1.0000,20FT,Z
I21010003,27/Jan/2021,Sumitomo,I21010003,J000511,,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,S
